LABEL,TRANSLATION
----------------------------------,INSTALL-------------------------
"Proceed","Proceed"
"MySQL","MySQL"
"Host","Host"
"Database","Database"
"Username","Username"
"Password","Password"
"Language","Language"
"Theme","Theme"
"Updates","Updates"
"Settings file is ready, proceed to setup database.","Settings file is ready, proceed to setup database."
"Default user language","Default user language"
"After installation you can change theme by editing pons-settings.php file.","After installation you can change theme by editing pons-settings.php file."
"Installation","Installation"
----------------------------------,VARIOUS-------------------------
"NOTICE","NOTICE"
"Close","Close"
"OK","OK"
"CANCEL","CANCEL"
"YES","YES"
"NO","NO"
"Are you sure to delete the file now?","Are you sure to delete the file now?"
"Do you confirm to delete the item?","Do you confirm to delete the item?"
"You don't have selected any item to delete.","You don't have selected any item to delete."
"Do you confirm to delete the selected items?","Do you confirm to delete the selected items?"
"Config","Config"
"choose","choose"
"all","all"
"All","All"
"Save","Save"
"Today","Today"
"Find","Find"
"ON","ON"
"OFF","OFF"
"From","From"
"To","To"
"of","of"
"Filter","Filter"
"Done.","Done."
"Loading...","Loading..."
"Edit","Edit"
"Select file","Select file"
"There are unsaved changes, do you want to exit this page?","There are unsaved changes, do you want to exit this page?","4.3.5"
----------------------------------,LOGIN PAGE-------------------------
"Timy login page","Timy login page"
"user","user"
"password","password"
"forgot password?","Forgot password?"
"Logout","Logout"
"Login","Login"
"Sign in","Sign in"
"Support","Support"
"You're not authorized.","You're not authorized."
"Deleted.","Deleted."
"Delete selected items","Delete selected items"
"Add new item","Add new item"
"Delete","Delete"
"Username or password not valid","Username or password not valid","4.3.5"
----------------------------------,RESET PASSWORD---------------------
"Insert your email to reset your password","Insert your email to reset your password"
"Reset password","Reset password"
"Hi, <br>your username is <b>%u</b> and to reset your password click here: <br><a href='%s'>%s</a> <br>Thank you.","Hi, <br>your username is <b>%u</b> and to reset your password click here: <br><a href='%s'>%s</a> <br>Thank you."
"Email","Email"
"New password","New password"
"Repeat password","Repeat password"
"Sorry, email not found","Sorry, email not found"
"Check your email for reset link","Check your email for reset link"
"Choose your new password","Choose your new password"
"Password mismatch","Password mismatch"
"Go back and use your new password","Go back and use your new password"
"User not found","User not found"
"Back","Back"
"Go","Go"
----------------------------------,SIGN IN----------------------------
"New account","New account"
"User","User"
"Please check your email to confirm email address.","Please check your email to confirm email address."
"User created, now you can login.","User created, now you can login."
"Check code not found or user already confirmed.","Check code not found or user already confirmed."
"Email already used. <a href='%s'>Password recovery?</a>","Email already used. <a href='%s'>Password recovery?</a>"
"Not a valid email.","Not a valid email."
"Please, complete mandatory fields.","Please, complete mandatory fields."
"Username already used. <a href='%s'>Password recovery?</a>","Username already used. <a href='%s'>Password recovery?</a>"
"Confirm email address","Confirm email address"
"Hi,<br>to confirm your email address click here: <br><a href='%s'>%s</a> <br>Thank you.","Hi,<br>to confirm your email address click here: <br><a href='%s'>%s</a> <br>Thank you."
"Error","Error"
----------------------------------,USERS LIST-------------------------
"The username you've choose is already used.","The username you've choose is already used."
"Users","Users"
"Edit more data","Edit more data"
"Login as this user","Login as this user"
"Surname","Surname"
"Name","Name"
"Username","Username"
"Profile","Profile"
"Password","Password"
"Do you confirm to delete the selected users and all their data?","Vuoi cancellare gli utenti selezionati e tutti i loro dati, comprese le ore caricate nel timesheet?"
"Shortname","Sigla"
"Last access","Ultimo accesso","4.3.5"
----------------------------------,ADD USER-------------------------
"Add a new user","Add a new user"
"User details","User details"
"Active user","Active user"
"Hour cost","Hour cost"
"Hour cost by year","Hour cost by year"
"No records found.","No records found."
"Do you confirm?","Do you confirm?"
"Define the cost for this employee for a specific year","Define the cost for this employee for a specific year"
----------------------------------,EDIT USER-------------------------
"Leave blank if you don't want to change it","Leave blank if you don't want to change it"
"Edit user","Edit user"
"Permissions","Permissions"
----------------------------------,MORE USER DATA-------------------------
"Email address","Email address"
"User creation date","User creation date"
"More informations on","More informations on"
----------------------------------,MY PROFILE-------------------------
"This is a demo version, you can't do that.","This is a demo version, you can't do that."
"My profile","My profile"
"Edit my profile","Edit my profile"
"Address","Address"
"Email already used.","Email already used."
"Make the password longer.","Make the password longer."
"Use both lowercase and uppercase letters.","Use both lowercase and uppercase letters."
"Include at least one number.","Include at least one number."
"Include at least one special character.","Include at least one special character."
"The field '%s' is wrong.","The field '%s' is wrong."
"Default component","Default component"
----------------------------------,SETTINGS-------------------------
"Main settings","Main settings"
