LABEL,TRANSLATION
----------------------------------,INSTALL-------------------------
"Proceed","Procedi"
"MySQL","MySQL"
"Host","Host"
"Database","Database"
"Username","Utente"
"Password","Password"
"Language","Lingua"
"Theme","Tema"
"Updates","Aggiornamenti"
"Settings file is ready, proceed to setup database.","Il file delle impostazioni è pronto, procedi per preparare il databasae."
"Default user language","Lingua di default"
"After installation you can change theme by editing pons-settings.php file.","Dopo l'installazione puoi cambiare tema editando il file pons-settings.php."
"Installation","Installazione"
----------------------------------,VARIOUS-------------------------
"NOTICE","AVVISO"
"Close","Chiudi",
"OK","OK",
"CANCEL","ANNULLA",
"YES","SI",
"NO","NO",
"Are you sure to delete the file now?","Sei sicuro di cancellare il file ora?",
"Do you confirm to delete the item?","Confermi la cancellazione?",
"You don't have selected any item to delete.","Non hai selezionato alcun elemento da eliminare."
"Do you confirm to delete the selected items?","Cancello i selezionati?"
"Config","Configura"
"choose","scegli"
"all","tutti"
"All","Tutti"
"Save","Salva"
"Today","Oggi"
"Find","Cerca"
"ON","ON"
"OFF","OFF"
"From","Dal"
"To","Al"
"of","di"
"Filter","Filtro"
"Done.","Fatto."
"Loading...","Caricamento..."
"Edit","Modifica"
"Select file","Scegli file"
"There are unsaved changes, do you want to exit this page?","Ci sono cambiamenti non salvati, vuoi uscire dalla pagina?","4.3.5"
----------------------------------,LOGIN PAGE-------------------------
"Timy login page","Timy pagina di login"
"user","utente"
"password","password"
"forgot password?","Password dimenticata?"
"Logout","Esci"
"Login","Entra"
"Sign in","Sign in"
"Support","Supporto"
"You're not authorized.","Non sei autorizzato"
"Deleted.","Cancellato."
"Delete selected items","Cancella gli elementi selezionati"
"Add new item","Aggiungi nuovo"
"Delete","Elimina"
"Username or password not valid","Username o password non valide","4.3.5"
----------------------------------,RESET PASSWORD---------------------
"Insert your email to reset your password","Inserisci la tua email per fare il reset della password"
"Reset password","Resetta la password"
"Hi, <br>your username is <b>%u</b> and to reset your password click here: <br><a href='%s'>%s</a> <br>Thank you.","Ciao, <br>il tuo nome utente è <b>%u</b> e per resettare la password clicca qui: <br><a href='%s'>%s</a> <br>Grazie."
"Email","Email"
"New password","Nuova password"
"Repeat password","Ripeti password"
"Sorry, email not found","Mi spiace, email non trovata"
"Check your email for reset link","Controlla la tua casella di posta per il link di reset"
"Choose your new password","Scegli una  nuova password"
"Password mismatch","Le due password non coincidono"
"Go back and use your new password","Vai alla home e usa la nuova password"
"User not found","Utente non trovato"
"Back","Indietro"
"Go","Procedi"
----------------------------------,SIGN IN----------------------------
"New account","Nuovo utente"
"User","Utente"
"Please check your email to confirm email address.","Controlla la tua casella di posta per verificare l'indirizzo email."
"User created, now you can login.","Utente creato, ora puoi fare login."
"Check code not found or user already confirmed.","Codice di verifica non trovato o utente già verificato."
"Email already used. <a href='%s'>Password recovery?</a>","Email già usata. <a href='%s'>Recupero password?</a>"
"Not a valid email.","Email non valida."
"Please, complete mandatory fields.","Per favore completa i campi obbligatori."
"Username already used. <a href='%s'>Password recovery?</a>","Username già in uso. <a href='%s'>Recupero password?</a>"
"Confirm email address","Conferma il tuo indirizzo email"
"Hi,<br>to confirm your email address click here: <br><a href='%s'>%s</a> <br>Thank you.","Ciao,<br>per confermare il tuo indirizzo clicca qui: <br><a href='%s'>%s</a> <br>Thank you."
"Error","Errore"
----------------------------------,USERS LIST-------------------------
"The username you've choose is already used.","Il nome utente scelto è già in uso."
"Users","Utenti"
"Edit more data","Modifica altri dati"
"Login as this user","Entra come questo utente"
"Surname","Cognome"
"Name","Nome"
"Username","Nome utente"
"Profile","Profilo"
"Password","Password"
"Do you confirm to delete the selected users and all their data?","Confermi di cancellare l'utente e tutti i suoi dati, comprese le ore caricate?"
"Shortname","Shortname"
"Last access","Last access","4.3.5"
----------------------------------,ADD USER-------------------------
"Add a new user","Aggiungi un nuovo utente"
"User details","Dettagli utente"
"Active user","Attiva l'utente"
"Hour cost","Costo orario"
"Hour cost by year","Costo orario per anno"
"No records found.","Nessun record trovato."
"Do you confirm?","Sei sicuro?"
"Define the cost for this employee for a specific year","Definisci il costo per questo utente per un anno specifico"
----------------------------------,EDIT USER-------------------------
"Leave blank if you don't want to change it","Lascia vuoto se non la vuoi cambiare"
"Edit user","Modifica utente"
"Permissions","Permessi"
----------------------------------,MORE USER DATA-------------------------
"Email address","Indirizzo Email"
"User creation date","Data di creazione dell'utente"
"More informations on","Altre informazioni su"
----------------------------------,MY PROFILE-------------------------
"This is a demo version, you can't do that.","Non puoi farlo, è una versione demo."
"My profile","Mio profilo"
"Edit my profile","Modifica il mio profilo"
"Address","Indirizzo"
"Email already used.","Email già utilizzata."
"Make the password longer.","Usa una password più lunga."
"Use both lowercase and uppercase letters.","Usa sia lettere minuscole che maiuscole."
"Include at least one number.","Inlcudi almeno un numero."
"Include at least one special character.","includi almeno un carattere speciale."
"The field '%s' is wrong.","Il campo '%s' non è corretto"
"Default component","Pagina iniziale"
----------------------------------,SETTINGS-------------------------
"Main settings","Impostazioni principali"
"Settings","Impostazioni"
"Setting","Impostazione"
"Setting value","Valore dell'impostazione"
"Setting name","Nome dell'impostazione"
"For example: $","Per esempio: €"
"Currency money code","Codice valuta"
"Currency","Valuta"
"Date format","Formato della data"
"Maximum upload file size","Dimensione massima di caricamento file"
"Check for new version on development server","Verifica la versione sul server di sviluppo"
"Check version","Controlla la versione"
"Settings more","Altre impostazioni"
----------------------------------,MENU -------------------------
"Menu editor","Menu editor"
"Order","Ordine"
"Menu label","Menu etichetta"
"Slug","Slug"
"Module details","Dettagli del modulo"
"Translate","Traduzione"
"Check to use the files in lang folder to translate the label in the menu","Spuntare se vuoi utilizzare i file della cartella lang per tradurre questa voce di menu in altre lingue"
"Menu items","Voci del menu"
"Menu item","Voce del menu"
"Label","Etichetta"
"Visibility","Visibilità"
"Url","Url"
"Icon","Icona"
"Menu item details","Dettagli della voce del menu"
"Modules","Moduli"
"This Menu item is used in these modules:","Questa voce di menu è usata in questi moduli:"
"Who can see this Menu item:","Chi può vedere questa Voce di menu:"
"Functionalities","Funzionalità"
"Menu item label or slug already existing.","L'etichetta o lo slug di questa voce di menu esistono già."
"More items","Altro"
"This module contains items.","Questo modulo contiene delle voci di menu."
----------------------,--------MENU--------------------
"Timesheet","Timesheet"
"Log time","Ore lavorate"
"Missing log time","Ore mancanti"
"Departments","Reparti"
"Clients","Clienti"
"Jobs","Progetti"
"Reports","Reportistica"
"Hour type","Tipi di ora"
"My log time","Le mie ore"
----------------------,--------JOBS--------------------
"Group by","Raggruppamento"
"Job","Progetto"
"Person","Persona"
"Client","Cliente"
"Department","Reparto"
"Year","Anno"
"Status","Stato"
"Color","Colore"
"Job name","Nome progetto"
"Code","Codice"
"Starting date","Data di inizio"
"Ending date","Data di fine"
"Link","Link"
"Are you sure? All the hours logged for this job will be deleted","Sei sicuro? Tutte le ore caricate su questo progetto verranno cancellate"
"Max","Max"
"Limit hours","Limite ore"
"Limit budget","Limite soldi"
----------------------,--------LOG TIME----------------
"Weekly view","Vista settimanale"
"January","Gennaio"
"February","Febbraio"
"March","Marzo"
"April","Aprile"
"May","Maggio"
"June","Giugno"
"July","Luglio"
"August","Agosto"
"September","Settembre"
"October","Ottobre"
"November","Novembre"
"December","Dicembre"
"Monday","Lunedi"
"Tuesday","Martedi"
"Wednesday","Mercoledi"
"Thursday","Giovedi"
"Friday","Venerdi"
"Saturday","Sabato"
"Sunday","Domenica"
