,Totale ore,,"10,00",1 = alta,Ore acquistate =,48,Fattura 26.2021 e altre...
Tipo,Cosa,Ore,Stato,Priorità,Data consegna,Chi,Note
New,cancellazione libro sbagliato di bot curation,"0,25",fatto,,luglio-05-21,peppe,
New,Nel bot curation ci va un pannello per inserire stop words,3,fatto,,luglio-12-21,peppe,
New,Aggiornamento wp e plugin,"0,5",fatto,,ottobre-19-21,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,novembre-26-21,Alex,
Bug,Problema salvataggio articoli,"0,25",fatto,,gennaio-17-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,gennaio-21-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,marzo-02-22,Alex,
New,Aggiunta funzione BLOCCA API JSON,"0,25",fatto,,marzo-08-22,Alex,
New,aggiornamento wp e plugin,"0,25",fatto,,marzo-30-22,Alex,
New,aggiornamento wp e plugin,"0,25",fatto,,maggio-10-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,luglio-08-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,agosto-02-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,settembre-02-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,novembre-30-22,Alex,
New,Aggiornamento ricerca su tutti i post,1,fatto,,gennaio-03-23,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,gennaio-26-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,aprile-03-23,Alex,
New,"Aggiornamento wp e plugin, pulizia spam, rimozione temi vecchi","0,75",fatto,,maggio-23-23,Giulio,
New,Aggiornamento wp e plugin,"0,5",fatto,,giugno-06-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,luglio-28-23,Alex,
