,Totale ore,,"13,75",1 = alta,Ore acquistate =,16,Fattura 136.2021
Tipo,Cosa,Ore,Stato,Priorità,Data consegna,Chi,Note
NEW,"Aggiornamento WP e plugin, eliminazione tema standard","0,5",fatto,,settembre-16-21,Giulio,
NEW,Modifica footer per nuovo punto in via Spiga anzichè Durini,"0,5",fatto,,settembre-16-21,Giulio,
NEW,Rinnovo token per instagram feed nel footer,"0,5",fatto,,settembre-17-21,Giulio,
NEW,Aggironamento wp e plugin,"0,5",fatto,,ottobre-19-21,Alex,
NEW,Aggiornamento wp e plugin,"0,25",fatto,,novembre-26-21,Alex,
NEW,Modifica footer per eliminazione Magenta,"0,5",fatto,,gennaio-08-22,Giulio,
NEW,Aggiornamento wp e plugin,"0,25",fatto,,gennaio-21-22,Alex,
NEW,Consulenza per firma su posta Outlook,"0,25",fatto,,gennaio-24-22,Alex,
NEW,Aggiornamento wp e plugin,"0,25",fatto,,marzo-03-22,Alex,
NEW,Correzione problema immagini in home,"0,75",fatto,,marzo-04-22,Giulio,
NEW,Aggiunta funzione BLOCCA API JSON,"0,25",fatto,,marzo-08-22,Alex,
NEW,"Correzione problema immagini in vecchie gallery e home mobile, correzione scritta nel footer","0,5",fatto,,marzo-13-22,Giulio,
NEW,check funzionamento gallery pagina watch type-8,"0,25",fatto,,marzo-25-22,Giulio,
NEW,aggiornamento wp e plugin,"0,25",fatto,,marzo-30-22,Alex,
NEW,aggiornamento wp e plugin,"0,25",fatto,,maggio-10-22,Alex,
NEW,aggiunta link nuovo video home,"0,25",fatto,,maggio-17-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,luglio-08-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,agosto-02-22,Alex,
NEW,Aggironamento video youtube,"0,25",fatto,,ottobre-05-22,Alex,
NEW,aggiornamenti e check malware,1,fatto,,ottobre-12-22,Giulio,
NEW,Aggiornamento wp e plugin,"0,25",fatto,,novembre-30-22,Alex,
NEW,Correzioni problemi dopo aggiornamento (errori in pagina tag e in speakeasy),2,fatto,,dicembre-16-22,Alex,
NEW,Aggiunta box x aggiornare video youtube in homepage,1,fatto,,dicembre-16-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,gennaio-26-23,Alex,
New,"Pulizia cartella sospetta ""lorem""",1,fatto,,febbraio-01-23,Giulio,
New,Aggiornamento wp e plugin,"0,5",fatto,,aprile-03-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,giugno-06-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,luglio-28-23,Alex,
