,Totale ore,,"13,25",1 = alta,Ore acquistate =,20,Fattura  17.2023
Tipo,Cosa,Ore,Stato,Priorità,Data consegna,Chi,Note
New,costo licenza plugin Learndash,4,fatto,,marzo-02-23,Giulio,
New,aggiornamenti per adeguamento GDPR,4,fatto,,marzo-02-23,Giulio,v. mail e punti concordati
New,aggiornamenti plugin Wordpress,"0,5",fatto,,marzo-02-23,Giulio,"(rimosso 2 plugin, perché c'è plugin graviity x mailchimp?)"
New,aggiornamenti plugin Wordpress,"0,5",fatto,,aprile-03-23,Alex,
New,Aggiornamento voci menù ,"0,5",fatto,,aprile-18-23,Alex,
New,Ordinamento cronologico news,"0,5",fatto,,aprile-18-23,Alex,
New,rimozione url,"0,25",fatto,,aprile-21-23,Giulio,
New,"Aggiunto reindirizzamento ad autore sulla pagina ""Il Team di Piano C""","0,75",fatto,,maggio-31-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,giugno-06-23,Alex,
New,Presa visione contratto responsabilità x GDPR,"0,75",fatto,,giugno-09-23,Giulio,
New,Modifica blog tag/cat navigazione,"0,5",fatto,,giugno-28-23,Giulio,
New,Aggiornamento wp e plugin,"0,5",fatto,,luglio-28-23,Alex,
