,Totale ore,,"18,00",1 = alta,Ore acquistate =,24,Ordine cliente n... - Fattura n. TBD
Tipo,Cosa,Ore,Stato,Priorità,Data consegna,Chi,Note
New,"check invio newsletter, modifica label bottone, aggiunta controlli alla cancellazione del post newsletter per eliminare dati coda","1,5",fatto,,aprile-20-22,Giulio,
New,modifica coda invio newsletter,"2,5",fatto,,aprile-22-22,Giulio,
New,pulizia vecchie email da software newsletter automatica,2,fatto,,luglio-01-22,Giulio,
New,aggiornamento wp e plugin,"0,5",fatto,,luglio-01-22,Giulio,
New,Aggiornamento wp e plugin,"0,5",fatto,,luglio-08-22,Alex,
New,Aggiunta indirizzi email per newsletter,"0,5",fatto,,luglio-08-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,agosto-02-22,Alex,
New,SITO VILLAGE: Aggiornamento wp e plugin,"0,25",fatto,,agosto-02-22,Alex,
New,Aggiunta Google Tag Manager su collegio,"0,25",fatto,,agosto-03-22,Alex,
New,Aggiornamento wp e plugin,"0,25",fatto,,settembre-02-22,Alex,
New,SITO VILLAGE: Aggiornamento wp e plugin,"0,25",fatto,,settembre-02-22,Alex,
New,Aggiornate icone social,"0,5",fatto,,ottobre-12-22,Alex,
New,Correzione problema gallery,"0,75",fatto,,novembre-02-22,Giulio,
New,"nuovo template X newsletter, più leggibile, colonna disiscritto, check estrazione utenti X newsletter","2,5",fatto,,novembre-21-22,Giulio ,
New,Aggiornamento wp e plugin,"0,25",fatto,,novembre-30-22,Alex,
New,aggiornameto utenti newsletter,"0,5",fatto,,gennaio-25-23,Giulio,
New,Aggiornamento wp e plugin,"0,25",fatto,,gennaio-26-23,Alex,
New,SITO VILLAGE: Aggiornamento wp e plugin,"0,25",fatto,,gennaio-26-23,Alex,
New,Corretto WP che non fa salvare l'indirizzo URL nei partner internazionali,"0,5",fatto,,febbraio-27-23,Giulio,"è cambiato il permesso utente controllato da wp, messo quello corretto"
New,Importazione fogli mail newsletter,"0,5",fatto,,marzo-17-23,Giulio,
New,Aggiornamento wp e plugin,"0,5",fatto,,aprile-03-23,Alex,
New,SITO VILLAGE: Aggiornamento wp e plugin,"0,5",fatto,,aprile-03-23,Alex,
New,aggiornamento pagina contatti,"0,25",fatto,,giugno-06-23,Giulio,
New,Aggiornamento wp e plugin,"0,5",fatto,,giugno-06-23,Giulio,
New,SITO VILLAGE: Aggiornamento wp e plugin,"0,5",fatto,,giugno-06-23,Alex,
New,Aggiornamento wp e plugin,"0,5",fatto,,luglio-28-23,Alex,
New,SITO VILLAGE: Aggiornamento wp e plugin,"0,5",fatto,,luglio-28-23,Alex,
